Fecha,Hora,Tiempo_Transcurrido_(s),Ping_(ms),%_Paquetes_perdidos,Tiempo_Corte_(ms),Tiempo_de_Fallo_Acumulado_(ms)
18-02-2022,23-50-05,1,5,0,0,0
18-02-2022,23-50-06,2,4,0,0,0
18-02-2022,23-50-07,3,4,0,0,0
18-02-2022,23-50-08,4,4,0,0,0
03-03-2022,12-35-29,1,43,0,0,0
03-03-2022,12-35-30,2,11,0,0,0
03-03-2022,12-35-31,3,8,0,0,0
03-03-2022,12-35-32,4,11,0,0,0
03-03-2022,12-35-33,5,26,0,0,0
03-03-2022,12-35-34,6,9,0,0,0
03-03-2022,12-35-35,7,9,0,0,0
03-03-2022,12-35-36,8,13,0,0,0
03-03-2022,12-35-37,9,7,0,0,0
03-03-2022,12-35-38,10,10,0,0,0
03-03-2022,12-35-39,11,8,0,0,0
03-03-2022,12-35-40,12,9,0,0,0
03-03-2022,12-35-41,13,10,0,0,0
03-03-2022,12-35-42,14,8,0,0,0
03-03-2022,12-35-43,15,18,0,0,0
03-03-2022,12-35-44,16,18,0,0,0
03-03-2022,12-35-45,17,8,0,0,0
03-03-2022,12-35-46,18,9,0,0,0
03-03-2022,12-35-47,19,8,0,0,0
03-03-2022,12-35-48,20,10,0,0,0
03-03-2022,12-35-49,21,8,0,0,0
03-03-2022,12-35-50,22,9,0,0,0
03-03-2022,12-35-52,23,8,0,0,0
03-03-2022,12-35-53,24,8,0,0,0
03-03-2022,12-35-54,25,9,0,0,0
03-03-2022,12-35-55,26,11,0,0,0
03-03-2022,12-35-56,27,8,0,0,0
03-03-2022,12-35-57,28,8,0,0,0
03-03-2022,12-35-58,29,8,0,0,0
03-03-2022,12-35-59,30,9,0,0,0
03-03-2022,12-36-00,31,8,0,0,0
03-03-2022,12-36-01,32,8,0,0,0
03-03-2022,12-36-02,33,10,0,0,0
03-03-2022,12-36-03,34,10,0,0,0
03-03-2022,12-36-04,35,7,0,0,0
03-03-2022,12-36-05,36,12,0,0,0
03-03-2022,12-36-06,37,9,0,0,0
03-03-2022,12-36-07,38,8,0,0,0
03-03-2022,12-36-08,39,8,0,0,0
03-03-2022,12-36-09,40,9,0,0,0
03-03-2022,12-36-10,41,18,0,0,0
03-03-2022,12-36-11,42,10,0,0,0
03-03-2022,12-36-12,43,9,0,0,0
03-03-2022,12-36-13,44,18,0,0,0
03-03-2022,12-36-14,45,8,0,0,0
03-03-2022,12-36-15,46,10,0,0,0
03-03-2022,12-36-16,47,15,0,0,0
03-03-2022,12-36-17,48,13,0,0,0
03-03-2022,12-36-18,49,13,0,0,0
03-03-2022,12-36-19,50,9,0,0,0
03-03-2022,12-36-20,51,7,0,0,0
03-03-2022,12-36-21,52,9,0,0,0
03-03-2022,12-36-22,53,10,0,0,0
03-03-2022,12-36-23,54,8,0,0,0
03-03-2022,12-36-24,55,11,0,0,0
03-03-2022,12-36-25,56,7,0,0,0
03-03-2022,12-36-26,57,9,0,0,0
03-03-2022,12-36-27,58,7,0,0,0
03-03-2022,12-36-28,59,12,0,0,0
03-03-2022,12-36-29,60,10,0,0,0
03-03-2022,12-36-30,61,13,0,0,0
03-03-2022,12-36-31,62,13,0,0,0
03-03-2022,12-36-32,63,13,0,0,0
03-03-2022,12-36-33,64,12,0,0,0
03-03-2022,12-36-34,65,9,0,0,0
03-03-2022,12-36-35,66,20,0,0,0
03-03-2022,12-36-36,67,8,0,0,0
03-03-2022,12-36-37,68,16,0,0,0
03-03-2022,12-36-38,69,9,0,0,0
03-03-2022,12-36-39,70,15,0,0,0
03-03-2022,12-36-40,71,9,0,0,0
03-03-2022,12-36-41,72,12,0,0,0
03-03-2022,12-36-42,73,9,0,0,0
03-03-2022,12-36-43,74,27,0,0,0
03-03-2022,12-36-44,75,10,0,0,0
03-03-2022,12-36-45,76,8,0,0,0
03-03-2022,12-36-46,77,26,0,0,0
03-03-2022,12-36-47,78,9,0,0,0
03-03-2022,12-36-48,79,8,0,0,0
03-03-2022,12-36-50,80,10,0,0,0
03-03-2022,12-36-50,81,11,0,0,0
03-03-2022,12-36-51,82,8,0,0,0
03-03-2022,12-36-52,83,29,0,0,0
03-03-2022,12-36-54,84,9,0,0,0
03-03-2022,12-36-55,85,8,0,0,0
03-03-2022,12-36-56,86,27,0,0,0
03-03-2022,12-36-57,87,9,0,0,0
03-03-2022,12-36-58,88,10,0,0,0
03-03-2022,12-36-59,89,21,0,0,0
03-03-2022,12-37-00,90,8,0,0,0
03-03-2022,12-37-01,91,9,0,0,0
03-03-2022,12-37-02,92,15,0,0,0
03-03-2022,12-37-03,93,9,0,0,0
03-03-2022,12-37-04,94,10,0,0,0
03-03-2022,12-37-05,95,39,0,0,0
03-03-2022,12-37-06,96,8,0,0,0
03-03-2022,12-37-07,97,12,0,0,0
03-03-2022,12-37-08,98,11,0,0,0
03-03-2022,12-37-09,99,9,0,0,0
03-03-2022,12-37-10,100,11,0,0,0
03-03-2022,12-37-11,101,9,0,0,0
03-03-2022,12-37-12,102,10,0,0,0
03-03-2022,12-37-13,103,8,0,0,0
03-03-2022,12-37-14,104,10,0,0,0
03-03-2022,12-37-15,105,9,0,0,0
03-03-2022,12-37-16,106,9,0,0,0
03-03-2022,12-37-17,107,10,0,0,0
03-03-2022,12-37-18,108,7,0,0,0
03-03-2022,12-37-19,109,15,0,0,0
03-03-2022,12-37-20,110,17,0,0,0
03-03-2022,12-37-21,111,8,0,0,0
03-03-2022,12-37-22,112,9,0,0,0
03-03-2022,12-37-23,113,12,0,0,0
03-03-2022,12-37-24,114,8,0,0,0
03-03-2022,12-37-25,115,18,0,0,0
03-03-2022,12-37-26,116,8,0,0,0
03-03-2022,12-37-27,117,8,0,0,0
03-03-2022,12-37-28,118,11,0,0,0
03-03-2022,12-37-29,119,12,0,0,0
03-03-2022,12-37-30,120,9,0,0,0
03-03-2022,12-37-31,121,16,0,0,0
03-03-2022,12-37-32,122,8,0,0,0
03-03-2022,12-37-33,123,9,0,0,0
03-03-2022,12-37-34,124,11,0,0,0
03-03-2022,12-37-35,125,13,0,0,0
03-03-2022,12-37-36,126,10,0,0,0
03-03-2022,12-37-37,127,30,0,0,0
03-03-2022,12-37-38,128,18,0,0,0
03-03-2022,12-37-39,129,8,0,0,0
03-03-2022,12-37-40,130,12,0,0,0
03-03-2022,12-37-41,131,24,0,0,0
03-03-2022,12-37-42,132,8,0,0,0
03-03-2022,12-37-43,133,8,0,0,0
03-03-2022,12-37-44,134,40,0,0,0
03-03-2022,12-37-45,135,9,0,0,0
03-03-2022,12-37-46,136,11,0,0,0
03-03-2022,12-37-47,137,30,0,0,0
03-03-2022,12-37-48,138,13,0,0,0
03-03-2022,12-37-49,139,18,0,0,0
03-03-2022,12-37-50,140,8,0,0,0
03-03-2022,12-37-51,141,9,0,0,0
03-03-2022,12-37-52,142,10,0,0,0
03-03-2022,12-37-53,143,10,0,0,0
03-03-2022,12-37-54,144,10,0,0,0
03-03-2022,12-37-55,145,9,0,0,0
03-03-2022,12-37-56,146,9,0,0,0
03-03-2022,12-37-57,147,8,0,0,0
03-03-2022,12-37-58,148,9,0,0,0
03-03-2022,12-37-59,149,9,0,0,0
03-03-2022,12-38-00,150,8,0,0,0
03-03-2022,12-38-01,151,11,0,0,0
03-03-2022,12-38-02,152,24,0,0,0
03-03-2022,12-38-03,153,15,0,0,0
03-03-2022,12-38-04,154,19,0,0,0
03-03-2022,12-38-05,155,8,0,0,0
03-03-2022,12-38-06,156,9,0,0,0
03-03-2022,12-38-07,157,9,0,0,0
03-03-2022,12-38-08,158,9,0,0,0
03-03-2022,12-38-09,159,9,0,0,0
03-03-2022,12-38-11,160,13,0,0,0
03-03-2022,12-38-12,161,47,0,0,0
03-03-2022,12-38-13,162,8,0,0,0
03-03-2022,12-38-14,163,9,0,0,0
03-03-2022,12-38-15,164,41,0,0,0
03-03-2022,12-38-16,165,10,0,0,0
03-03-2022,12-38-17,166,8,0,0,0
03-03-2022,12-38-18,167,17,0,0,0
03-03-2022,12-38-19,168,12,0,0,0
03-03-2022,12-38-20,169,8,0,0,0
03-03-2022,12-38-21,170,18,0,0,0
03-03-2022,12-38-22,171,10,0,0,0
03-03-2022,12-38-23,172,8,0,0,0
03-03-2022,12-38-24,173,9,0,0,0
03-03-2022,12-38-25,174,9,0,0,0
03-03-2022,12-38-26,175,42,0,0,0
03-03-2022,12-38-27,176,8,0,0,0
03-03-2022,12-38-28,177,7,0,0,0
03-03-2022,12-38-29,178,7,0,0,0
03-03-2022,12-38-30,179,9,0,0,0
03-03-2022,12-38-31,180,8,0,0,0
03-03-2022,12-38-32,181,10,0,0,0
03-03-2022,12-38-33,182,9,0,0,0
03-03-2022,12-38-34,183,40,0,0,0
03-03-2022,12-38-35,184,13,0,0,0
03-03-2022,12-38-36,185,9,0,0,0
03-03-2022,12-38-37,186,13,0,0,0
03-03-2022,12-38-38,187,12,0,0,0
03-03-2022,12-38-39,188,8,0,0,0
03-03-2022,12-38-40,189,8,0,0,0
03-03-2022,12-38-41,190,10,0,0,0
03-03-2022,12-38-42,191,30,0,0,0
03-03-2022,12-38-43,192,8,0,0,0
03-03-2022,12-38-44,193,8,0,0,0
03-03-2022,12-38-45,194,8,0,0,0
03-03-2022,12-38-46,195,12,0,0,0
03-03-2022,12-38-47,196,9,0,0,0
03-03-2022,12-38-48,197,11,0,0,0
03-03-2022,12-38-49,198,9,0,0,0
03-03-2022,12-38-50,199,12,0,0,0
03-03-2022,12-38-51,200,18,0,0,0
03-03-2022,12-38-52,201,18,0,0,0
03-03-2022,12-38-53,202,10,0,0,0
03-03-2022,12-38-54,203,11,0,0,0
03-03-2022,12-38-55,204,13,0,0,0
03-03-2022,12-38-56,205,10,0,0,0
03-03-2022,12-38-57,206,8,0,0,0
03-03-2022,12-38-58,207,9,0,0,0
03-03-2022,12-38-59,208,9,0,0,0
03-03-2022,12-39-00,209,10,0,0,0
03-03-2022,12-39-01,210,8,0,0,0
03-03-2022,12-39-02,211,8,0,0,0
03-03-2022,12-39-03,212,9,0,0,0
03-03-2022,12-39-04,213,9,0,0,0
03-03-2022,12-39-05,214,9,0,0,0
03-03-2022,12-39-06,215,8,0,0,0
03-03-2022,12-39-07,216,9,0,0,0
03-03-2022,12-39-08,217,15,0,0,0
03-03-2022,12-39-09,218,28,0,0,0
03-03-2022,12-39-10,219,10,0,0,0
03-03-2022,12-39-11,220,17,0,0,0
03-03-2022,12-39-12,221,11,0,0,0
03-03-2022,12-39-13,222,9,0,0,0
03-03-2022,12-39-14,223,8,0,0,0
03-03-2022,12-39-16,224,9,0,0,0
03-03-2022,12-39-17,225,10,0,0,0
03-03-2022,12-39-18,226,9,0,0,0
03-03-2022,12-39-19,227,9,0,0,0
03-03-2022,12-39-20,228,8,0,0,0
03-03-2022,12-39-21,229,8,0,0,0
03-03-2022,12-39-22,230,8,0,0,0
03-03-2022,12-39-23,231,11,0,0,0
03-03-2022,12-39-24,232,8,0,0,0
03-03-2022,12-39-25,233,9,0,0,0
03-03-2022,12-39-26,234,8,0,0,0
03-03-2022,12-39-27,235,8,0,0,0
03-03-2022,12-39-28,236,8,0,0,0
03-03-2022,12-39-29,237,21,0,0,0
03-03-2022,12-39-30,238,8,0,0,0
03-03-2022,12-39-31,239,40,0,0,0
03-03-2022,12-39-32,240,8,0,0,0
03-03-2022,12-39-33,241,10,0,0,0
03-03-2022,12-39-34,242,9,0,0,0
03-03-2022,12-39-35,243,9,0,0,0
03-03-2022,12-39-36,244,9,0,0,0
03-03-2022,12-39-37,245,8,0,0,0
03-03-2022,12-39-38,246,9,0,0,0
03-03-2022,12-39-39,247,7,0,0,0
03-03-2022,12-39-40,248,8,0,0,0
03-03-2022,12-39-41,249,10,0,0,0
03-03-2022,12-39-42,250,8,0,0,0
03-03-2022,12-39-43,251,8,0,0,0
03-03-2022,12-39-44,252,9,0,0,0
03-03-2022,12-39-45,253,8,0,0,0
03-03-2022,12-39-46,254,8,0,0,0
03-03-2022,12-39-47,255,11,0,0,0
03-03-2022,12-39-48,256,81,0,0,0
03-03-2022,12-39-49,257,9,0,0,0
03-03-2022,12-39-50,258,9,0,0,0
03-03-2022,12-39-51,259,8,0,0,0
03-03-2022,12-39-52,260,12,0,0,0
03-03-2022,12-39-53,261,7,0,0,0
03-03-2022,12-39-54,262,10,0,0,0
03-03-2022,12-39-55,263,9,0,0,0
03-03-2022,12-39-56,264,9,0,0,0
03-03-2022,12-39-57,265,9,0,0,0
03-03-2022,12-39-58,266,9,0,0,0
03-03-2022,12-39-59,267,8,0,0,0
03-03-2022,12-40-00,268,7,0,0,0
03-03-2022,12-40-01,269,8,0,0,0
03-03-2022,12-40-02,270,8,0,0,0
03-03-2022,12-40-03,271,7,0,0,0
03-03-2022,12-40-04,272,8,0,0,0
03-03-2022,12-40-05,273,7,0,0,0
03-03-2022,12-40-06,274,8,0,0,0
03-03-2022,12-40-07,275,47,0,0,0
03-03-2022,12-40-08,276,9,0,0,0
03-03-2022,12-40-09,277,9,0,0,0
03-03-2022,12-40-10,278,22,0,0,0
03-03-2022,12-40-11,279,26,0,0,0
03-03-2022,12-40-12,280,14,0,0,0
03-03-2022,12-40-13,281,8,0,0,0
03-03-2022,12-40-14,282,46,0,0,0
03-03-2022,12-40-15,283,12,0,0,0
03-03-2022,12-40-16,284,9,0,0,0
03-03-2022,12-40-18,285,23,0,0,0
03-03-2022,12-40-19,286,8,0,0,0
03-03-2022,12-40-20,287,8,0,0,0
03-03-2022,12-40-21,288,11,0,0,0
03-03-2022,12-40-22,289,8,0,0,0
03-03-2022,12-40-23,290,13,0,0,0
03-03-2022,12-40-24,291,14,0,0,0
03-03-2022,12-40-25,292,18,0,0,0
03-03-2022,12-40-26,293,8,0,0,0
03-03-2022,12-40-27,294,8,0,0,0
03-03-2022,12-40-28,295,10,0,0,0
03-03-2022,12-40-29,296,10,0,0,0
03-03-2022,12-40-30,297,7,0,0,0
03-03-2022,12-40-31,298,10,0,0,0
03-03-2022,12-40-32,299,9,0,0,0
03-03-2022,12-40-33,300,11,0,0,0
