Fecha,Hora,Tiempo_Transcurrido_(s),Ping_(ms),%_Paquetes_perdidos,Tiempo_Corte_(ms),Tiempo_de_Fallo_Acumulado_(ms)
17-02-2022,18-03-58,1,6,0,0,0
17-02-2022,18-03-59,2,34,0,0,0
17-02-2022,18-04-00,3,7,0,0,0
17-02-2022,18-04-01,4,6,0,0,0
17-02-2022,18-04-02,5,6,0,0,0
17-02-2022,18-04-03,6,8,0,0,0
17-02-2022,18-04-04,7,6,0,0,0
17-02-2022,18-04-05,8,6,0,0,0
17-02-2022,18-04-06,9,6,0,0,0
17-02-2022,18-04-07,10,8,0,0,0
17-02-2022,18-04-08,11,6,0,0,0
17-02-2022,18-04-09,12,9,0,0,0
17-02-2022,18-04-10,13,7,0,0,0
17-02-2022,18-04-11,14,6,0,0,0
17-02-2022,18-04-12,15,7,0,0,0
17-02-2022,18-04-13,16,7,0,0,0
17-02-2022,18-04-14,17,7,0,0,0
17-02-2022,18-04-15,18,6,0,0,0
17-02-2022,18-04-16,19,7,0,0,0
17-02-2022,18-04-17,20,10,0,0,0
17-02-2022,18-04-18,21,7,0,0,0
17-02-2022,18-04-19,22,7,0,0,0
17-02-2022,18-04-21,23,6,0,0,0
17-02-2022,18-04-22,24,7,0,0,0
17-02-2022,18-04-23,25,6,0,0,0
