Fecha,Hora,Tiempo_Transcurrido_(s),Ping_(ms),%_Paquetes_perdidos,Tiempo_Corte_(ms),Tiempo_de_Fallo_Acumulado_(ms)
16-02-2022,17-44-15,1,42,0,0,0
16-02-2022,17-44-16,2,37,0,0,0
16-02-2022,17-44-17,3,33,0,0,0
16-02-2022,17-44-18,4,40,0,0,0
16-02-2022,17-44-19,5,34,0,0,0
16-02-2022,17-44-20,6,37,0,0,0
16-02-2022,17-44-21,7,34,0,0,0
16-02-2022,17-44-22,8,66,0,0,0
16-02-2022,17-44-23,9,22,0,0,0
16-02-2022,17-44-24,10,53,0,0,0
16-02-2022,17-44-25,11,73,0,0,0
16-02-2022,17-44-26,12,41,0,0,0
16-02-2022,17-44-27,13,40,0,0,0
16-02-2022,17-44-28,14,38,0,0,0
16-02-2022,17-44-29,15,57,0,0,0
