Fecha,Hora,Host,Bajada,Subida
14-02-2022,12:24:38,lanproject.cl:8080,29.15,27.68
14-02-2022,12:25:38,lanproject.cl:8080,32.73,20.44
14-02-2022,12:26:38,lanproject.cl:8080,35.1,25.49
14-02-2022,12:27:38,lanproject.cl:8080,34.08,20.19
14-02-2022,12:28:38,lanproject.cl:8080,33.73,21.13
14-02-2022,12:29:38,lanproject.cl:8080,32.04,18.55
14-02-2022,12:30:38,lanproject.cl:8080,24.8,26.06
14-02-2022,12:31:38,lanproject.cl:8080,29.48,20.04
14-02-2022,12:32:38,lanproject.cl:8080,10.05,20.24
14-02-2022,12:33:38,lanproject.cl:8080,34.06,23.13
14-02-2022,12:34:38,lanproject.cl:8080,32.06,24.29
14-02-2022,12:35:38,lanproject.cl:8080,35.07,20.31
14-02-2022,12:36:38,lanproject.cl:8080,34.18,26.8
14-02-2022,12:37:38,lanproject.cl:8080,34.08,29.53
14-02-2022,12:38:38,lanproject.cl:8080,35.07,21.8
14-02-2022,12:39:38,lanproject.cl:8080,26.58,21.08
14-02-2022,12:40:38,lanproject.cl:8080,35.2,29.97
14-02-2022,12:41:38,lanproject.cl:8080,36.32,32.88
14-02-2022,12:42:38,lanproject.cl:8080,36.29,30.05
14-02-2022,12:43:38,lanproject.cl:8080,35.66,24.8
14-02-2022,12:44:38,lanproject.cl:8080,36.13,21.03
14-02-2022,12:45:38,lanproject.cl:8080,36.82,22.89
14-02-2022,12:46:38,lanproject.cl:8080,36.99,21.67
14-02-2022,12:47:38,lanproject.cl:8080,31.23,23.81
14-02-2022,12:48:38,lanproject.cl:8080,30.89,23.98
14-02-2022,12:49:38,lanproject.cl:8080,37.63,22.38
14-02-2022,12:50:38,lanproject.cl:8080,26.68,26.57
14-02-2022,12:51:38,lanproject.cl:8080,33.45,21.54
14-02-2022,12:52:38,lanproject.cl:8080,33.64,29.11
14-02-2022,12:53:38,lanproject.cl:8080,33.65,19.11
14-02-2022,12:54:38,lanproject.cl:8080,34.05,19.05
14-02-2022,12:55:38,lanproject.cl:8080,30.94,19.61
14-02-2022,12:56:38,lanproject.cl:8080,34.71,18.87
14-02-2022,12:57:38,lanproject.cl:8080,35.84,19.45
14-02-2022,12:58:38,lanproject.cl:8080,35.16,20.97
14-02-2022,12:59:38,lanproject.cl:8080,33.71,23.42
14-02-2022,13:00:38,lanproject.cl:8080,34.3,27.82
14-02-2022,13:01:38,lanproject.cl:8080,32.61,23.15
14-02-2022,13:02:38,lanproject.cl:8080,34.37,24.77
14-02-2022,13:03:38,lanproject.cl:8080,30.55,25.54
14-02-2022,13:04:38,lanproject.cl:8080,34.93,29.96
14-02-2022,13:05:38,lanproject.cl:8080,36.89,27.32
14-02-2022,13:06:38,lanproject.cl:8080,24.76,20.48
14-02-2022,13:07:38,lanproject.cl:8080,36.8,24.66
14-02-2022,13:08:38,lanproject.cl:8080,34.22,25.66
14-02-2022,13:09:38,lanproject.cl:8080,38.95,23.49
14-02-2022,13:10:38,lanproject.cl:8080,37.49,20.79
14-02-2022,13:11:38,lanproject.cl:8080,26.31,23.03
14-02-2022,13:12:38,lanproject.cl:8080,30.37,21.63
14-02-2022,13:13:38,lanproject.cl:8080,35.55,20.12
14-02-2022,13:14:38,lanproject.cl:8080,21.31,16.65
14-02-2022,13:15:38,lanproject.cl:8080,36.79,31.03
14-02-2022,13:16:38,lanproject.cl:8080,38.79,25.97
14-02-2022,13:17:38,lanproject.cl:8080,33.31,21.21
14-02-2022,13:18:38,lanproject.cl:8080,37.64,22.91
14-02-2022,13:19:39,lanproject.cl:8080,38.11,26.83
14-02-2022,13:20:38,lanproject.cl:8080,38.47,26.97
14-02-2022,13:21:38,lanproject.cl:8080,38.07,23.09
14-02-2022,13:22:38,lanproject.cl:8080,37.79,25.56
14-02-2022,13:23:38,lanproject.cl:8080,37.37,27.71
14-02-2022,15:41:06,speedtest-chile.transtelco.net:8080,37.03,22.61
14-02-2022,15:42:04,speedtest-chile.transtelco.net:8080,32.14,20.6
23-02-2022,16:18:46,Entel-Santiago-(1858),38.99,34.74
23-02-2022,16:19:46,Entel-Santiago-(1858),35.26,28.35
28-02-2022,11:02:21,Entel-Santiago-(1858),24.9,12.32
28-02-2022,11:03:20,Entel-Santiago-(1858),32.66,18.08
28-02-2022,11:10:48,Entel-Santiago-(1858),30.75,10.58
28-02-2022,11:11:47,Entel-Santiago-(1858),28.31,11.3
28-02-2022,11:12:47,Entel-Santiago-(1858),22.64,9.53
28-02-2022,11:15:43,Entel-Santiago-(1858),26.72,10.99
28-02-2022,11:16:43,Entel-Santiago-(1858),25.64,15.28
28-02-2022,11:17:43,Entel-Santiago-(1858),30.83,17.52
28-02-2022,11:19:34,Entel-Santiago-(1858),27.65,15.37
28-02-2022,11:20:33,Entel-Santiago-(1858),27.11,13.94
28-02-2022,11:21:33,Entel-Santiago-(1858),23.13,13.71
28-02-2022,12:38:40,Entel-Santiago-(1858),33.64,16.94
28-02-2022,12:39:39,Entel-Santiago-(1858),35.83,16.5
28-02-2022,12:40:39,Entel-Santiago-(1858),30.71,16.76
28-02-2022,12-44-54,Entel-Santiago-(1858),21.27,14.33
28-02-2022,12-45-53,Entel-Santiago-(1858),23.12,13.61
28-02-2022,12-46-53,Entel-Santiago-(1858),32.89,9.68
28-02-2022,12-54-52,Transtelco-Santiago de Chile-(44270),32.7,11.48
28-02-2022,12-55-51,Transtelco-Santiago de Chile-(44270),20.42,14.51
28-02-2022,12-56-52,Transtelco-Santiago de Chile-(44270),26.5,10.72
03-03-2022,16-30-00,speedtest.miinternet.cl:8080,35.41,30.12
03-03-2022,16-31-00,ookla.wmax.cl:8080,38.92,44.66
03-03-2022,16-32-00,ookla.wmax.cl:8080,37.78,29.7
03-03-2022,16-33-00,lanproject.cl:8080,29.3,18.65
03-03-2022,16-34-00,speedtest.insacom.cl:8080,38.2,31.22
03-03-2022,16-35-00,speedtest.insacom.cl:8080,37.01,31.7
03-03-2022,16-36-00,speedtest.insacom.cl:8080,38.31,28.93
03-03-2022,16-37-00,ookla.wmax.cl:8080,39.17,33.16
03-03-2022,16-38-00,lanproject.cl:8080,39.9,15.94
03-03-2022,16-39-00,speedtest.insacom.cl:8080,38.28,23.1
03-03-2022,16-40-00,speedtest.insacom.cl:8080,37.38,30.5
03-03-2022,16-41-00,ookla.wmax.cl:8080,36.63,31.12
03-03-2022,16-42-00,ookla.wmax.cl:8080,37.32,29.29
03-03-2022,16-43-00,speedtest.insacom.cl:8080,36.63,30.27
03-03-2022,16-44-00,speedtest.miinternet.cl:8080,35.78,44.41
03-03-2022,16-45-00,speedtest.bynarya.net:8080,37.63,38.88
03-03-2022,16-46-00,lanproject.cl:8080,40.28,31.51
03-03-2022,16-47-00,speedtest.bynarya.net:8080,24.74,35.32
03-03-2022,16-48-00,ookla.wmax.cl:8080,24.68,32.47
03-03-2022,16-49-00,speedtest.insacom.cl:8080,23.15,26.34
03-03-2022,16-50-00,speedtest.miinternet.cl:8080,26.77,30.52
03-03-2022,16-51-00,speedtest.bynarya.net:8080,39.09,34.15
03-03-2022,16-52-00,speedtest.bynarya.net:8080,37.95,38.92
03-03-2022,16-53-00,ookla.wmax.cl:8080,40.26,33.04
03-03-2022,16-54-00,ookla.wmax.cl:8080,32.73,32.69
03-03-2022,16-55-00,ookla.wmax.cl:8080,36.08,34.1
03-03-2022,16-56-00,lanproject.cl:8080,31.92,29.83
03-03-2022,16-57-00,speedtest.miinternet.cl:8080,31.17,26.66
03-03-2022,16-58-00,speedtest.insacom.cl:8080,23.69,42.56
03-03-2022,16-59-00,ookla.wmax.cl:8080,35.2,19.33
03-03-2022,17-00-00,speedtest.insacom.cl:8080,39.3,27.56
03-03-2022,17-01-00,speedtest.miinternet.cl:8080,38.46,18.66
03-03-2022,17-02-00,speedtest.miinternet.cl:8080,29.08,30.94
03-03-2022,17-03-00,speedtest.miinternet.cl:8080,37.66,29.26
03-03-2022,17-04-00,speedtest.miinternet.cl:8080,38.01,23.29
03-03-2022,17-04-59,speedtest.insacom.cl:8080,35.82,31.61
03-03-2022,17-06-00,speedtest.insacom.cl:8080,38.51,33.46
03-03-2022,17-07-00,speedtest.bynarya.net:8080,35.54,39.5
03-03-2022,17-08-00,ookla.wmax.cl:8080,35.64,32.09
03-03-2022,17-09-00,speedtest.insacom.cl:8080,33.04,16.56
03-03-2022,17-10-00,lanproject.cl:8080,28.34,27.05
03-03-2022,17-11-00,lanproject.cl:8080,30.68,21.85
03-03-2022,17-12-00,speedtest.insacom.cl:8080,35.1,21.69
03-03-2022,17-13-00,ookla.wmax.cl:8080,32.63,28.4
03-03-2022,17-14-00,speedtest.insacom.cl:8080,34.02,30.62
03-03-2022,17-15-00,speedtest.insacom.cl:8080,31.26,25.18
03-03-2022,17-16-00,speedtest.miinternet.cl:8080,34.17,30.72
03-03-2022,17-17-00,speedtest.bynarya.net:8080,35.01,37.37
03-03-2022,17-18-00,lanproject.cl:8080,36.58,28.76
03-03-2022,17-19-00,speedtest.miinternet.cl:8080,37.71,43.61
03-03-2022,17-20-00,lanproject.cl:8080,34.69,52.47
03-03-2022,17-21-00,speedtest.insacom.cl:8080,34.86,25.2
03-03-2022,17-22-00,ookla.wmax.cl:8080,35.58,31.17
03-03-2022,17-23-00,speedtest.insacom.cl:8080,36.64,39.06
03-03-2022,17-24-00,lanproject.cl:8080,34.31,31.24
03-03-2022,17-25-00,speedtest.insacom.cl:8080,32.26,30.32
03-03-2022,17-26-02,speedtest.bynarya.net:8080,27.36,35.52
03-03-2022,17-27-00,speedtest.miinternet.cl:8080,26.79,35.65
03-03-2022,17-28-00,speedtest.insacom.cl:8080,29.06,48.94
03-03-2022,17-29-00,speedtest.miinternet.cl:8080,26.73,24.47
03-03-2022,17-30-00,speedtest.miinternet.cl:8080,30.29,31.75
03-03-2022,17-31-00,speedtest.miinternet.cl:8080,32.65,18.93
04-03-2022,17-54-39,TuMundo Digital-Melipilla-(46704),36.19,14.59
04-03-2022,17-55-38,TuMundo Digital-Melipilla-(46704),34.26,12.32
04-03-2022,18-02-18,TLINK SpA-Santiago-(14485),39.21,6.05
04-03-2022,18-02-40,TLINK SpA-Santiago-(14485),38.23,11.04
04-03-2022,18-03-03,TLINK SpA-Santiago-(14485),18.48,12.81
04-03-2022,18-03-25,TLINK SpA-Santiago-(14485),33.74,13.82
04-03-2022,18-09-15,TLINK SpA-Santiago-(14485),41.22,19.02
04-03-2022,18-10-15,TLINK SpA-Santiago-(14485),22.95,18.36
04-03-2022,18-27-49,MI FIBRA-Renca-(22239),42.4,15.53
04-03-2022,18-29-09,MI FIBRA-Renca-(22239),26.15,18.51
04-03-2022,18-31-42,MI FIBRA-Renca-(22239),40.94,16.56
04-03-2022,18-33-03,MI FIBRA-Renca-(22239),41.31,18.24
07-03-2022,12-00-00,speedtest1.entelchile.net:8080,25.43,15.86
07-03-2022,12-01-21,speedtest.bynarya.net:8080,16.97,13.23
07-03-2022,12-02-42,sp6.wom.cl:8080,15.09,12.11
07-03-2022,12-04-06,speedtest.bynarya.net:8080,2.22,9.21
07-03-2022,12-05-27,speedtest.bynarya.net:8080,21.88,11.76
07-03-2022,12-06-47,speedtest.tuwifi.cl:8080,23.77,6.08
07-03-2022,12-08-09,speedtest.bynarya.net:8080,9.17,10.47
07-03-2022,12-09-30,speedtest1.entelchile.net:8080,17.93,10.98
07-03-2022,12-10-51,speedtest.tuwifi.cl:8080,25.42,8.24
07-03-2022,12-12-12,stgo1.bandaancha.cl:8080,13.26,11.05
07-03-2022,12-13-33,speedtest.bynarya.net:8080,23.05,14.47
07-03-2022,12-14-53,sp6.wom.cl:8080,26.48,12.36
07-03-2022,12-16-14,speedtest1.entelchile.net:8080,22.18,12.0
07-03-2022,12-17-35,speedtest.bynarya.net:8080,29.71,14.94
07-03-2022,12-18-56,speedtest.tuwifi.cl:8080,26.95,8.95
07-03-2022,12-20-17,speedtest1.entelchile.net:8080,21.83,14.22
07-03-2022,12-21-38,stgo1.bandaancha.cl:8080,26.55,15.04
07-03-2022,12-22-59,speedtest1.entelchile.net:8080,24.09,13.78
07-03-2022,12-24-19,speedtest.bynarya.net:8080,19.45,14.14
07-03-2022,12-25-40,speedtest1.entelchile.net:8080,28.65,12.58
07-03-2022,12-27-01,speedtest1.entelchile.net:8080,26.66,14.74
07-03-2022,12-28-22,speedtest.tuwifi.cl:8080,27.51,7.76
07-03-2022,12-29-43,speedtest.bynarya.net:8080,26.58,15.37
07-03-2022,12-31-03,stgo1.bandaancha.cl:8080,27.5,13.1
07-03-2022,12-32-24,sp6.wom.cl:8080,26.21,9.34
07-03-2022,12-33-45,sp6.wom.cl:8080,28.45,14.15
07-03-2022,12-35-07,speedtest.bynarya.net:8080,17.27,13.55
07-03-2022,12-36-28,speedtest.tuwifi.cl:8080,30.38,8.67
07-03-2022,12-37-49,speedtest.bynarya.net:8080,14.41,7.58
07-03-2022,12-39-09,speedtest.tuwifi.cl:8080,31.53,9.15
07-03-2022,12-44-55,Entel-Santiago-(1858),28.03,11.29
07-03-2022,12-45-55,Entel-Santiago-(1858),28.47,14.03
07-03-2022,12-48-46,Bynarya SpA-Santiago-(9749),26.41,15.1
07-03-2022,12-49-46,Bynarya SpA-Santiago-(9749),28.02,12.85
07-03-2022,12-50-46,Bynarya SpA-Santiago-(9749),28.9,13.24
07-03-2022,16-32-32,Netquinta Spa-Quintero-(47255),10.6,5.35
07-03-2022,16-33-32,Netquinta Spa-Quintero-(47255),10.09,5.57
07-03-2022,16-34-32,Netquinta Spa-Quintero-(47255),21.22,5.44
07-03-2022,16-35-32,Netquinta Spa-Quintero-(47255),3.01,2.71
07-03-2022,16-36-32,Netquinta Spa-Quintero-(47255),3.79,5.75
07-03-2022,16-37-32,Netquinta Spa-Quintero-(47255),4.8,2.89
07-03-2022,16-38-32,Netquinta Spa-Quintero-(47255),2.12,3.1
07-03-2022,16-39-32,Netquinta Spa-Quintero-(47255),4.5,6.24
07-03-2022,16-40-32,Netquinta Spa-Quintero-(47255),4.51,2.01
07-03-2022,16-41-32,Netquinta Spa-Quintero-(47255),9.49,8.49
07-03-2022,16-42-32,Netquinta Spa-Quintero-(47255),5.63,1.84
07-03-2022,16-43-32,Netquinta Spa-Quintero-(47255),7.98,8.23
07-03-2022,16-44-32,Netquinta Spa-Quintero-(47255),19.45,3.86
07-03-2022,16-45-32,Netquinta Spa-Quintero-(47255),19.96,11.78
07-03-2022,16-46-32,Netquinta Spa-Quintero-(47255),19.07,14.46
07-03-2022,16-47-32,Netquinta Spa-Quintero-(47255),14.36,9.32
07-03-2022,16-48-32,Netquinta Spa-Quintero-(47255),26.15,9.21
07-03-2022,16-49-32,Netquinta Spa-Quintero-(47255),21.26,7.43
07-03-2022,16-50-32,Netquinta Spa-Quintero-(47255),19.01,8.61
07-03-2022,16-51-32,Netquinta Spa-Quintero-(47255),24.19,7.47
07-03-2022,16-52-32,Netquinta Spa-Quintero-(47255),19.83,6.89
07-03-2022,16-53-32,Netquinta Spa-Quintero-(47255),10.81,8.36
07-03-2022,16-54-32,Netquinta Spa-Quintero-(47255),8.5,6.41
07-03-2022,16-55-32,Netquinta Spa-Quintero-(47255),21.31,11.4
07-03-2022,16-56-32,Netquinta Spa-Quintero-(47255),24.45,10.48
07-03-2022,16-57-32,Netquinta Spa-Quintero-(47255),26.38,10.9
07-03-2022,16-58-32,Netquinta Spa-Quintero-(47255),26.05,11.1
07-03-2022,16-59-32,Netquinta Spa-Quintero-(47255),22.32,9.93
07-03-2022,17-00-32,Netquinta Spa-Quintero-(47255),21.33,11.5
07-03-2022,17-01-32,Netquinta Spa-Quintero-(47255),24.87,11.31
07-03-2022,17-02-32,Netquinta Spa-Quintero-(47255),25.09,9.82
07-03-2022,17-03-32,Netquinta Spa-Quintero-(47255),27.24,11.82
07-03-2022,17-04-32,Netquinta Spa-Quintero-(47255),22.58,11.08
07-03-2022,17-05-32,Netquinta Spa-Quintero-(47255),20.59,11.84
07-03-2022,17-06-32,Netquinta Spa-Quintero-(47255),20.45,10.87
07-03-2022,17-07-32,Netquinta Spa-Quintero-(47255),16.86,9.71
07-03-2022,17-08-32,Netquinta Spa-Quintero-(47255),25.13,11.61
07-03-2022,17-09-32,Netquinta Spa-Quintero-(47255),22.78,6.9
07-03-2022,17-10-32,Netquinta Spa-Quintero-(47255),21.17,13.16
07-03-2022,17-11-32,Netquinta Spa-Quintero-(47255),22.4,12.29
07-03-2022,17-12-32,Netquinta Spa-Quintero-(47255),16.99,7.98
07-03-2022,17-13-32,Netquinta Spa-Quintero-(47255),23.28,11.48
07-03-2022,17-14-32,Netquinta Spa-Quintero-(47255),21.2,12.72
07-03-2022,17-15-32,Netquinta Spa-Quintero-(47255),25.28,12.98
07-03-2022,17-16-32,Netquinta Spa-Quintero-(47255),21.69,15.53
07-03-2022,17-17-32,Netquinta Spa-Quintero-(47255),13.63,9.83
07-03-2022,17-18-32,Netquinta Spa-Quintero-(47255),21.59,12.22
07-03-2022,17-19-32,Netquinta Spa-Quintero-(47255),23.3,11.26
07-03-2022,17-20-32,Netquinta Spa-Quintero-(47255),27.97,14.74
07-03-2022,17-21-32,Netquinta Spa-Quintero-(47255),24.87,15.37
07-03-2022,17-22-32,Netquinta Spa-Quintero-(47255),24.88,11.31
07-03-2022,17-23-32,Netquinta Spa-Quintero-(47255),27.72,10.59
07-03-2022,17-24-32,Netquinta Spa-Quintero-(47255),18.91,11.44
07-03-2022,17-25-32,Netquinta Spa-Quintero-(47255),28.63,12.58
07-03-2022,17-26-32,Netquinta Spa-Quintero-(47255),22.16,10.66
07-03-2022,17-27-32,Netquinta Spa-Quintero-(47255),29.55,16.47
07-03-2022,17-28-32,Netquinta Spa-Quintero-(47255),23.09,14.8
07-03-2022,17-29-32,Netquinta Spa-Quintero-(47255),23.7,11.3
07-03-2022,17-30-32,Netquinta Spa-Quintero-(47255),25.51,11.77
07-03-2022,17-31-32,Netquinta Spa-Quintero-(47255),27.09,11.12
